"tipo","partido","radio10","sup_ha","pobl_tot","dens_ha","ind_hac","ind_gr","ind_matv","ind_dom","dim_viv","cat_viv","wkt"
"URBANO","Almirante Brown",60283615,34.2,1816,53.1,0.77,0.52,0.68,0.87,0.71,"MEDIO","MULTIPOLYGON (((5645940.22390002 6137259.4127,5645939.5 6137259.0,5645877.5 6137368.0,5645834.63270002 6137443.0178,5645813.5 6137480.0,5645749.5 6137590.5,5645740.20690002 6137606.431,5645679.5 6137710.5,5645637.0 6137785.5,5645607.48770002 6137837.5348,5645599.0 6137852.5,5645568.09830002 6137906.1235,5645548 6137941,5645548.05210002 6137941.03,5645647 6137998,5645748.5 6138056.5,5645981.5 6138190.5,5646081.5 6138247.5,5646125 6138175,5646169.5 6138100.0,5646228.0 6138023.5,5646294.5 6137907.5,5646182.5 6137842.0,5646066.5 6137773.5,5645953.5 6137708.0,5646017.0 6137599.5,5646082 6137487,5646145.5 6137375.5,5646043 6137318,5645940.22390002 6137259.4127)))"
"URBANO","Almirante Brown",60282701,18.62,658,35.34,0.99,0.98,0.98,0.94,0.98,"MUY ALTO","MULTIPOLYGON (((5646039.0 6147338.5,5645909.0 6147261.5,5645887.5 6147297.5,5645847 6147366,5645814.0 6147422.5,5645782 6147479,5645752.0 6147531.5,5645721.5 6147584.0,5645696.5 6147624.0,5645642.5 6147715.5,5645665.38670002 6147729.1711,5645943 6147895,5645944.54050002 6147892.5271,5645962.0 6147864.5,5646000 6147801,5646055.5 6147708.5,5646122 6147600,5646143.5 6147563.0,5646176.5 6147506.0,5646214.0 6147440.5,5646122.0 6147386.5,5646039.0 6147338.5)))"
"URBANO","Almirante Brown",60283307,28.45,1499,52.69,0.73,0.21,0.75,0.79,0.67,"MEDIO","MULTIPOLYGON (((5648770.5 6141001.5,5648815.5 6140924.5,5648859.5 6140847.5,5648904.5 6140768.5,5648949.5 6140691.5,5648989.0 6140619.5,5648848.5 6140533.0,5648727.5 6140458.0,5648454 6140290,5648389.5 6140399.5,5648324.5 6140511.5,5648260.5 6140622.5,5648222.5 6140688.5,5648344.5 6140759.5,5648443.5 6140816.0,5648501.5 6140848.0,5648510.5 6140853.5,5648604 6140907,5648627.5 6140919.5,5648770.5 6141001.5)))"
"URBANO","Almirante Brown",60282307,15.78,916,58.05,0.95,0.92,0.97,0.87,0.94,"MUY ALTO","MULTIPOLYGON (((5647376.5 6145750.5,5647538.5 6145771.5,5647694.5 6145792.5,5647849.5 6145812.5,5647852.5 6145785.5,5647861.5 6145723.5,5647873.5 6145632.5,5647878.5 6145593.5,5647862.5 6145583.5,5647778.5 6145530.5,5647732.5 6145501.5,5647660.5 6145455.5,5647592.5 6145412.5,5647586.5 6145408.5,5647527.5 6145370.5,5647437.5 6145313.5,5647434.5 6145326.0,5647432.5 6145338.0,5647425.5 6145387.5,5647413.5 6145479.5,5647408.5 6145518.5,5647406.5 6145533.5,5647401.5 6145570.5,5647388.5 6145660.5,5647376.5 6145750.5)))"
"URBANO","Almirante Brown",60282603,24.27,919,37.87,0.89,0.84,0.93,0.9,0.9,"MUY ALTO","MULTIPOLYGON (((5646198.5 6148179.0,5646274 6148063,5646284 6148070,5646359 6147954,5646263 6147886,5646288 6147848,5646174 6147779,5646055.5 6147708.5,5646000 6147801,5645962.0 6147864.5,5645944.54050002 6147892.5271,5645943 6147895,5645890.5 6147979.0,5645814.0 6148109.5,5645762.5 6148194.0,5645710 6148280,5645711.72490002 6148281.0781,5645806 6148340,5645810 6148342,5645905 6148402,5646015 6148471,5646068 6148387,5646120 6148304,5646194 6148185,5646198.5 6148179.0)))"
"URBANO","Almirante Brown",60283706,21.18,1504,71.01,0.74,0.44,0.68,0.8,0.68,"MEDIO","MULTIPOLYGON (((5646678.5 6137512.0,5646745.0 6137395.5,5646638.0 6137333.5,5646518.5 6137264.0,5646404.0 6137198.5,5646290 6137130,5646221.5 6137247.0,5646145.5 6137375.5,5646082 6137487,5646017.0 6137599.5,5645953.5 6137708.0,5646066.5 6137773.5,5646182.5 6137842.0,5646244.5 6137731.0,5646310 6137620,5646373.5 6137510.5,5646451 6137380,5646566 6137447,5646678.5 6137512.0)))"
"URBANO","Almirante Brown",60282805,23.57,1609,68.26,0.8,0.48,0.79,0.82,0.75,"MEDIO","MULTIPOLYGON (((5645001.0 6146990.5,5645079.0 6146856.5,5645151.0 6146731.5,5645224.0 6146605.5,5645309.0 6146460.5,5645234.0 6146418.5,5645114 6146351,5645044 6146310,5644974 6146270,5644891 6146411,5644817 6146538,5644746.5 6146660.5,5644666 6146796,5644736 6146837,5644806 6146877,5644927.0 6146947.5,5645001.0 6146990.5)))"
"URBANO","Almirante Brown",60282801,14.65,1104,75.36,0.91,0.82,0.95,0.9,0.91,"MUY ALTO","MULTIPOLYGON (((5643831 6146290,5643776 6146258,5643728.5 6146321.5,5643688 6146392,5643647.5 6146460.5,5643605.10100002 6146529.2157,5643604 6146531,5643604.87970002 6146531.5692,5643605.42460002 6146531.9218,5643621 6146542,5643627 6146545,5643669 6146569,5643786 6146635,5643868 6146683,5644000 6146760,5644002.20800002 6146756.2464,5644040 6146692,5644081 6146621,5644121 6146552,5644163.0 6146481.5,5644029.0 6146404.5,5643934 6146348,5643831 6146290)))"
"URBANO","Almirante Brown",60282405,25.21,1651,65.49,0.92,0.91,0.98,0.89,0.94,"MUY ALTO","MULTIPOLYGON (((5647444.0 6147353.5,5647450 6147357,5647504 6147265,5647587 6147317,5647631.0 6147247.5,5647749 6147057,5647658.5 6147002.0,5647625.0 6146981.5,5647595.5 6146964.0,5647528.5 6146924.0,5647411.5 6146854.0,5647410.5 6146851.0,5647382.5 6146833.0,5647311.5 6146791.0,5647284.5 6146774.0,5647258.5 6146759.0,5647223.5 6146738.0,5647119.5 6146675.0,5647099.5 6146663.0,5647094.5 6146766.5,5647086 6146903,5647102 6146913,5647089 6146934,5647085.5 6147002.5,5647079.5 6147115.5,5647144 6147158,5647164 6147171,5647253 6147229,5647316.5 6147270.5,5647444.0 6147353.5)))"
"URBANO","Almirante Brown",60282806,23.1,1955,84.63,0.82,0.56,0.86,0.79,0.8,"ALTO","MULTIPOLYGON (((5644666 6146796,5644746.5 6146660.5,5644817 6146538,5644891 6146411,5644974 6146270,5644906 6146230,5644838 6146190,5644768 6146150,5644699 6146110,5644644 6146205,5644617 6146251,5644576.5 6146319.5,5644542 6146380,5644520.0 6146417.5,5644439.5 6146370.5,5644383.0 6146338.5,5644345 6146404,5644304 6146474,5644265 6146541,5644401.5 6146621.5,5644392 6146638,5644460 6146677,5644530 6146718,5644599 6146757,5644666 6146796)))"
